Entry	Gene Names (primary)	Gene Names (ordered locus)
P72920		slr1083
P72919		slr1082
P72918		slr1081
P72916		slr1079
P72912		slr1077
P72911		slr1076
P72910		slr1074
P72909		slr1073
P72907		slr1071
P72906		slr1070
P72905		slr1069
P72904		slr1068
P72902		slr1066
P72901		slr1065
P72899		slr1063
P72898		slr1062
P73021		slr1056
P73018		slr1053
P73017		slr1052
P73015		slr1050
P73009		slr1045
P73007		slr1043
P73006		slr1042
P73005		slr1041
P73155		slr1039
P73150		slr1037
P73146		slr1035
P73145		slr1034
P73143		slr1033
P73142		slr1032
P73139		slr1028
P73136		slr1025
P73135		slr1024
P73134		slr1023
P73125		slr1019
P74516		slr0992
P74515		slr0990
P74514		slr0989
P72883		slr0981
P72882		slr0980
P72881		slr0978
P72880		slr0977
P72879		slr0976
P72875		slr0975
P72863		slr0971
P72857		slr0967
P72855		slr0964
P72852		slr0962
P74333		slr0960
P74332		slr0959
P74329		slr0957
P74328		slr0955
P74325		slr0953
P74319		slr0950
P74315		slr0948
P74314		slr0947
P74311		slr0944
P74308		slr0942
P74307		slr0941
P74302		slr0937
P74300		slr0935
Q55502		slr0930
Q55501		slr0929
Q55386		slr0924
Q55385		slr0923
Q55384		slr0921
Q55381		slr0920
Q55380		slr0919
P53579		slr0918
Q57253		slr0915
Q55378		slr0914
Q55377		slr0913
Q55376		slr0912
Q55375		slr0909
Q55374		slr0907
Q55372		slr0904
Q55371		slr0903
Q55365		slr0897
Q55363		slr0895
P73579		slr0890
P73577		slr0889
P73576		slr0888
P73575		slr0887
P73570		slr0885
P73566		slr0882
P73564		slr0881
P73559		slr0878
P73556		slr0876
P73768		slr0872
P73767		slr0871
P73766		slr0870
P73765		slr0869
P73764		slr0868
P73763		slr0867
P73759		slr0865
P73758		slr0864
P73754		slr0863
P73748		slr0856
P73740		slr0852
Q55436		slr0848
Q55433		slr0846
Q55430		slr0845
Q55427		slr0842
Q55426		slr0841
Q55414		slr0829
Q55413		slr0825
P74062		slr0822
P74060		slr0821
P74057		slr0820
P74054		slr0818
P74049		slr0816
P74048		slr0815
P74046		slr0813
P74037		slr0810
P74033		slr0806
Q55951		slr0801
Q55945		slr0800
Q55944		slr0799
Q59997		slr0797
Q55936		slr0795
Q55935		slr0794
Q55934		slr0793
Q55930		slr0789
Q55929		slr0788
Q55928		slr0787
P53580		slr0786
Q55632		slr0784
Q55629		slr0782
Q55620		slr0779
Q55608		slr0773
Q55606		slr0771
Q55605		slr0770
Q55604		slr0769
Q55987		slr0765
P74640		slr0755
P74635		slr0753
Q04737		slr0751
P74631		slr0748
P72684		slr0740
P72682		slr0734
P72677		slr0732
P72675		slr0731
P72674		slr0730
P72673		slr0729
P72672		slr0728
P72671		slr0727
P72670		slr0725
P72668		slr0723
Q55201		slr0719
Q55979		slr0712
P52761		slr0709
Q55972		slr0708
Q55964		slr0702
Q55963		slr0701
Q55962		slr0700
Q55961		slr0699
Q55960		slr0698
Q55959		slr0697
P72967		slr0695
P72961		slr0689
P72959		slr0688
P72954		slr0686
P72946		slr0682
P72945		slr0681
P72944		slr0680
P72942		slr0678
P72941		slr0677
P72937		slr0670
P74585		slr0668
P74584		slr0667
P74583		slr0666
P74581		slr0664
P74570		slr0658
P74568		slr0656
P74567		slr0655
P74566		slr0654
P74560		slr0651
Q55730		slr0650
Q55727		slr0645
Q55722		slr0643
Q55721		slr0642
Q55718		slr0640
Q55717		slr0639
Q55715		slr0637
Q55712		slr0635
Q55711		slr0634
Q55708		slr0630
Q55870		slr0626
Q55868		slr0625
Q55867		slr0624
Q55861		slr0619
Q55858		slr0617
Q55857		slr0616
Q55856		slr0615
P72582		slr0613
P72581		slr0612
P74757		slr0610
P74756		slr0609
P74754		slr0607
P74753		slr0606
P74752		slr0605
P74748		slr0602
P74747		slr0601
P74746		slr0600
P74744		slr0598
P74740		slr0596
P74738		slr0594
P74736		slr0593
P74735		slr0592
P74732		slr0591
P74728		slr0590
P74727		slr0589
P74726		slr0588
P74723		slr0587
P74722		slr0586
Q55412		slr0583
Q55409		slr0582
Q55408		slr0581
Q55407		slr0580
Q55405		slr0579
Q55403		slr0575
Q55402		slr0573
Q55400		slr0572
Q55395		slr0569
Q55392		slr0565
P52056		slr0556
Q55516		slr0554
Q55514		slr0552
Q55493		slr0545
Q55490		slr0544
Q55488		slr0541
Q55480		slr0537
Q55477		slr0535
Q55475		slr0533
Q55845		slr0522
Q55844		slr0521
Q55840		slr0517
Q55837		slr0516
Q55836		slr0514
Q55831		slr0511
Q55830		slr0510
Q55829		slr0509
Q55824		slr0505
Q55823		slr0503
Q55815		slr0498
Q55186		slr0496
Q55185		slr0495
